Force,E,v,Start,Displacement
100.000000,1500.000000,0.170000,-0.011467,0.016875
100.000000,1500.000000,0.180000,-0.010569,0.018018
100.000000,1500.000000,0.190000,-0.009532,0.019306
100.000000,1500.000000,0.200000,-0.008351,0.020744
100.000000,1500.000000,0.210000,-0.007020,0.022341
100.000000,1500.000000,0.220000,-0.005532,0.024105
100.000000,1500.000000,0.230000,-0.003879,0.026045
100.000000,1500.000000,0.240000,-0.002055,0.028171
100.000000,1500.000000,0.250000,-0.000048,0.030494
100.000000,1500.000000,0.260000,0.002150,0.033027
100.000000,1500.000000,0.270000,0.004551,0.035784
100.000000,1500.000000,0.280000,0.007167,0.038781
100.000000,1500.000000,0.290000,0.010012,0.042036
100.000000,1500.000000,0.300000,0.013103,0.045569
100.000000,1500.000000,0.310000,0.016457,0.049406
100.000000,1500.000000,0.320000,0.020096,0.053574
100.000000,1500.000000,0.330000,0.024043,0.058105
100.000000,1500.000000,0.340000,0.028327,0.063038
100.000000,1500.000000,0.350000,0.032981,0.068420
100.000000,1500.000000,0.360000,0.038045,0.074305
100.000000,1500.000000,0.370000,0.043568,0.080762
100.000000,1500.000000,0.380000,0.049609,0.087874
100.000000,1500.000000,0.390000,0.056243,0.095749
100.000000,1500.000000,0.400000,0.063566,0.104522
100.000000,1500.000000,0.410000,0.071702,0.114375
100.000000,1500.000000,0.420000,0.080823,0.125550
100.000000,1500.000000,0.430000,0.091166,0.138389
100.000000,1500.000000,0.440000,0.103083,0.153388
100.000000,1500.000000,0.450000,0.117125,0.171312
100.000000,1500.000000,0.460000,0.134230,0.193423
100.000000,1500.000000,0.470000,0.156204,0.222029
100.000000,1500.000000,0.480000,0.187262,0.262106
100.000000,1500.000000,0.490000,0.241668,0.328294
100.000000,1600.000000,0.000000,0.053650,0.076668
100.000000,1600.000000,0.010000,0.052812,0.076036
100.000000,1600.000000,0.020000,0.052055,0.075484
100.000000,1600.000000,0.030000,0.051380,0.075014
100.000000,1600.000000,0.040000,0.050789,0.074628
100.000000,1600.000000,0.050000,0.050283,0.074327
100.000000,1600.000000,0.060000,0.049866,0.074114
100.000000,1600.000000,0.070000,0.049537,0.073990
100.000000,1600.000000,0.080000,0.049301,0.073959
100.000000,1600.000000,0.090000,0.049159,0.074022
100.000000,1600.000000,0.100000,0.049113,0.074182
100.000000,1600.000000,0.110000,0.049166,0.074444
100.000000,1600.000000,0.120000,0.049322,0.074808
100.000000,1600.000000,0.130000,0.049583,0.075280
100.000000,1600.000000,0.140000,0.049952,0.075863
100.000000,1600.000000,0.150000,0.050434,0.076561
100.000000,1600.000000,0.160000,0.051032,0.077379
100.000000,1600.000000,0.170000,0.051749,0.078321
100.000000,1600.000000,0.180000,0.052592,0.079392
100.000000,1600.000000,0.190000,0.053564,0.080599
100.000000,1600.000000,0.200000,0.054671,0.081948
100.000000,1600.000000,0.210000,0.055919,0.083445
100.000000,1600.000000,0.220000,0.057314,0.085099
100.000000,1600.000000,0.230000,0.058863,0.086918
100.000000,1600.000000,0.240000,0.060574,0.088911
100.000000,1600.000000,0.250000,0.062455,0.091088
100.000000,1600.000000,0.260000,0.064515,0.093463
100.000000,1600.000000,0.270000,0.066766,0.096048
100.000000,1600.000000,0.280000,0.069219,0.098857
100.000000,1600.000000,0.290000,0.071886,0.101908
100.000000,1600.000000,0.300000,0.074784,0.105221
100.000000,1600.000000,0.310000,0.077929,0.108818
100.000000,1600.000000,0.320000,0.081340,0.112726
100.000000,1600.000000,0.330000,0.085040,0.116974
100.000000,1600.000000,0.340000,0.089056,0.121599
100.000000,1600.000000,0.350000,0.093420,0.126644
100.000000,1600.000000,0.360000,0.098167,0.132161
100.000000,1600.000000,0.370000,0.103345,0.138214
100.000000,1600.000000,0.380000,0.109009,0.144882
100.000000,1600.000000,0.390000,0.115228,0.152264
